date, - values
1978-07-01,12883721.0
1979-07-01,12545688.0
1980-07-01,12604683.0
1981-07-01,12447845.0
1982-07-01,12703892.0
1983-07-01,12570873.0
1984-07-01,12114039.0
1985-07-01,12231496.0
1986-07-01,12008495.0
1987-07-01,12330295.0
1988-07-01,12301009.0
1989-07-01,12057575.0
1990-07-01,11800660.0
1991-07-01,11849599.0
1992-07-01,12186753.0
1993-07-01,12018324.0
1994-07-01,12082859.0
1995-07-01,11505635.0
1996-07-01,11890219.0
1997-07-01,11771768.0
1998-07-01,11878928.0
1999-07-01,11805100.0
2000-07-01,11619587.0
2001-07-01,11713955.0
2002-07-01,11486289.0
2003-07-01,11535627.0
2004-07-01,11338772.0
2005-07-01,11017885.0
2006-07-01,10923243.0
2007-07-01,10677667.0
2008-07-01,11180020.0
2009-07-01,11187112.0
2010-07-01,10973327.0
2011-07-01,10752579.0
2012-07-01,10673473.0
2013-07-01,11091519.0
2014-07-01,11012850.0
2015-07-01,10809601.0
2016-07-01,10424146.0
2017-07-01,10641478.0
2018-07-01,10578949.0
2019-07-01,10457111.0
2020-07-01,10379719.0
2021-07-01,10818227.0
2022-07-01,10883147.0
