Variable,Explanation,Type,Minimum,Maximum,Missing values
Year,Year,integer,1870.0,2015.0,0.0
Prod,Chick production index,numeric,1.161,10.0,18.0
LCI,Lower 95% confidence level of Prod,numeric,1.006,8.674,18.0
UCI,Upper 95% confidence level of Prod,numeric,1.319,11.326,18.0
SST,Annual sea surface temperature (°C),numeric,5.233,8.783,8.0
AMO,Atlantic Multidecadal Oscillation index,numeric,-0.3668,0.4028,2.0
NAO,North Atlantic Oscillation index,numeric,-5.96,4.09,1.0
AO,Arctic Oscillation index,numeric,-1.129,1.273,6.0
SPG,North Atlantic Subpolar Gyre index,numeric,-4.18,5.8,7.0
ENSO,El Niño-Southern Oscillation index,numeric,25.742,28.497,1.0
Harv,Harvest (birds),integer,122.0,174640.0,21.0
Src,Source of harvest number,character,,,0.0
Days,Length of harvest season (d),integer,0.0,70.0,10.0
,,,,,
,,,,,
,,,,,
,"The ""Data"" sheet has 13 columns and 146 rows, excluding a header with column names. ",,,,
,"Missing values are designated as ""NA"".",,,,
